QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
30,95.7,2871,24/02/2003,Shipped,1,2,2003,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
34,81.35,2765.9,07/05/2003,Shipped,2,5,2003,Motorcycles,S10_1678,Reims Collectables,26471555,59 rue de l'Abbaye,Reims,Reims,51100,France,Henriot,Paul,Small
41,94.74,3884.34,01/07/2003,Shipped,3,7,2003,Motorcycles,S10_1678,Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Paris,Paris,75508,France,Da Cunha,Daniel,Medium
45,83.26,3746.7,25/08/2003,Shipped,3,8,2003,Motorcycles,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Medium
49,100,5205.27,10/10/2003,Shipped,4,10,2003,Motorcycles,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Medium
36,96.66,3479.76,28/10/2003,Shipped,4,10,2003,Motorcycles,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Medium
29,86.13,2497.77,11/11/2003,Shipped,4,11,2003,Motorcycles,S10_1678,Daedalus Designs Imports,20161555,"184, chausse de Tournai",Lille,Lille,59000,France,Rance,Martine,Small
48,100,5512.32,18/11/2003,Shipped,4,11,2003,Motorcycles,S10_1678,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Medium
22,98.57,2168.54,01/12/2003,Shipped,4,12,2003,Motorcycles,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,0,USA,Murphy,Julie,Small
41,100,4708.44,15/01/2004,Shipped,1,1,2004,Motorcycles,S10_1678,Auto Canal Petit,+(147556555,"25, rue Lauriston",Paris,Paris,75016,France,Perrier,Dominique,Medium
37,100,3965.66,20/02/2004,Shipped,1,2,2004,Motorcycles,S10_1678,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Medium
23,100,2333.12,05/04/2004,Shipped,2,4,2004,Motorcycles,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael,Small
28,100,3188.64,18/05/2004,Shipped,2,5,2004,Motorcycles,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William,Medium
34,100,3676.76,28/06/2004,Shipped,2,6,2004,Motorcycles,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Medium
45,92.83,4177.35,23/07/2004,Shipped,3,7,2004,Motorcycles,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",Nantes,Nantes,44000,France,Labrune,Janine,Medium
36,100,4099.68,27/08/2004,Shipped,3,8,2004,Motorcycles,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Medium
23,100,2597.39,30/09/2004,Shipped,3,9,2004,Motorcycles,S10_1678,"Toys of Finland, Co.",902248555,Keskuskatu 45,Helsinki,Helsinki,21240,Finland,Karttunen,Matti,Small
41,100,4394.38,15/10/2004,Shipped,4,10,2004,Motorcycles,S10_1678,Baane Mini Imports,7989555,Erling Skakkes gate 78,Stavern,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
46,94.74,4358.04,02/11/2004,Shipped,4,11,2004,Motorcycles,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung,Medium
42,100,4396.14,15/11/2004,Shipped,4,11,2004,Motorcycles,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Medium
41,100,7737.93,24/11/2004,Shipped,4,11,2004,Motorcycles,S10_1678,Salzburg Collectables,65629555,Geislweg 14,Salzburg,Salzburg,5020,Austria,Pipps,Georg,Large
20,72.55,1451,17/12/2004,Shipped,4,12,2004,Motorcycles,S10_1678,Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
21,34.91,733.11,03/02/2005,Shipped,1,2,2005,Motorcycles,S10_1678,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",Nantes,Nantes,44000,France,Labrune,Janine,Small
42,76.36,3207.12,03/03/2005,Shipped,1,3,2005,Motorcycles,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta,Medium
24,100,2434.56,08/04/2005,Shipped,2,4,2005,Motorcycles,S10_1678,"UK Collectables, Ltd.",+(1715552282,Berkeley Gardens 12  Brewery,Liverpool,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
66,100,7516.08,13/05/2005,Disputed,2,5,2005,Motorcycles,S10_1678,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Large
26,100,5404.62,29/01/2003,Shipped,1,1,2003,Classic Cars,S10_1949,Baane Mini Imports,7989555,Erling Skakkes gate 78,Stavern,Stavern,4110,Norway,Bergulfsen,Jonas,Medium
29,100,7209.11,24/03/2003,Shipped,1,3,2003,Classic Cars,S10_1949,"Volvo Model Replicas, Co",921123555,Berguvsvgen  8,Lule,Lule,S-958 22,Sweden,Berglund,Christina,Large
38,100,7329.06,28/05/2003,Shipped,2,5,2003,Classic Cars,S10_1949,"Corrida Auto Replicas, Ltd",+(915552282,"C/ Araquil, 67",Madrid,Madrid,28023,Spain,Sommer,Mart¡n,Large
37,100,7374.1,24/07/2003,Shipped,3,7,2003,Classic Cars,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Large
45,100,10993.5,19/09/2003,Shipped,3,9,2003,Classic Cars,S10_1949,"Dragon Souveniers, Ltd.",652217555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,79903,Singapore,Natividad,Eric,Large
21,100,4860.24,20/10/2003,Shipped,4,10,2003,Classic Cars,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,NYC,NY,10022,USA,Hernandez,Maria,Medium
34,100,8014.82,06/11/2003,Shipped,4,11,2003,Classic Cars,S10_1949,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Large
23,100,5372.57,13/11/2003,Shipped,4,11,2003,Classic Cars,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca,Medium
42,100,7290.36,25/11/2003,Shipped,4,11,2003,Classic Cars,S10_1949,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",Lyon,Lyon,69004,France,Saveley,Mary,Large
47,100,9064.89,05/12/2003,Shipped,4,12,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,+(6045553392,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,Tannamuri,Yoshi,Large
35,100,6075.3,29/01/2004,Shipped,1,1,2004,Classic Cars,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,Thompson,Steve,Medium
29,100,6463.23,10/03/2004,Shipped,1,3,2004,Classic Cars,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,Cambridge,MA,51247,USA,Tseng,Kyung,Medium
34,100,6120.34,04/05/2004,Shipped,2,5,2004,Classic Cars,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,New Haven,CT,97823,USA,Murphy,Leslie,Medium
32,100,7680.64,15/06/2004,Shipped,2,6,2004,Classic Cars,S10_1949,"Tokyo Collectables, Ltd",81335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Large
21,100,4905.39,19/07/2004,Shipped,3,7,2004,Classic Cars,S10_1949,Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Medium
34,100,8014.82,17/08/2004,Shipped,3,8,2004,Classic Cars,S10_1949,Amica Models & Co.,114988555,Via Monte Bianco 34,Torino,Torino,10100,Italy,Accorti,Paolo,Large
37,100,7136.19,08/09/2004,Shipped,3,9,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,695346555,?kergatan 24,Boras,Boras,S-844 67,Sweden,Larsson,Maria,Large
47,100,10172.7,11/10/2004,Shipped,4,10,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",Versailles,Versailles,78000,France,Tonini,Daniel,Large
48,100,11623.7,21/10/2004,Shipped,4,10,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Large
40,100,6000.4,04/11/2004,Shipped,4,11,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Medium
26,100,3003,18/11/2004,Shipped,4,11,2004,Classic Cars,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,0,USA,Murphy,Julie,Medium
30,100,3944.7,29/11/2004,Shipped,4,11,2004,Classic Cars,S10_1949,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Medium
32,100,5691.84,10/12/2004,Shipped,4,12,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Medium
41,100,4514.92,20/01/2005,Shipped,1,1,2005,Classic Cars,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen,Medium
36,100,8254.8,17/02/2005,Shipped,1,2,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Large
24,100,2416.56,09/03/2005,Shipped,1,3,2005,Classic Cars,S10_1949,"Anna's Decorations, Ltd",299368555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Small
23,100,4140.23,01/05/2005,Shipped,2,5,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,+(5145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean,Medium
50,100,12001,31/05/2005,In Process,2,5,2005,Classic Cars,S10_1949,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Large
39,99.91,3896.49,24/02/2003,Shipped,1,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Medium
29,96.34,2793.86,29/04/2003,Shipped,2,4,2003,Motorcycles,S10_2016,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Small
27,100,3307.77,01/07/2003,Shipped,3,7,2003,Motorcycles,S10_2016,Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Paris,Paris,75508,France,Da Cunha,Daniel,Medium
37,100,5192.95,25/08/2003,Shipped,3,8,2003,Motorcycles,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Medium
37,100,5016.83,10/10/2003,Shipped,4,10,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Medium
27,100,3660.93,28/10/2003,Shipped,4,10,2003,Motorcycles,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Medium
42,100,4695.6,11/11/2003,Shipped,4,11,2003,Motorcycles,S10_2016,Daedalus Designs Imports,20161555,"184, chausse de Tournai",Lille,Lille,59000,France,Rance,Martine,Medium
38,96.34,3660.92,18/11/2003,Shipped,4,11,2003,Motorcycles,S10_2016,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Medium
24,100,3025.92,01/12/2003,Shipped,4,12,2003,Motorcycles,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,0,USA,Murphy,Julie,Medium
23,100,3009.09,12/01/2004,Shipped,1,1,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,8.10663E+11,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory,Medium
47,100,5422.39,20/02/2004,Shipped,1,2,2004,Motorcycles,S10_2016,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Medium
22,100,2852.08,03/04/2004,Shipped,2,4,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Small
44,100,5756.52,18/05/2004,Shipped,2,5,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Newark,NJ,94019,USA,Brown,William,Medium
40,100,4472,28/06/2004,Shipped,2,6,2004,Motorcycles,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Medium
22,100,2904.44,23/07/2004,Shipped,3,7,2004,Motorcycles,S10_2016,La Rochelle Gifts,40678555,"67, rue des Cinquante Otages",Nantes,Nantes,44000,France,Labrune,Janine,Small
47,100,6484.59,27/08/2004,Shipped,3,8,2004,Motorcycles,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,Cambridge,MA,51247,USA,Hernandez,Marta,Medium
39,96.34,3757.26,27/09/2004,Shipped,3,9,2004,Motorcycles,S10_2016,Atelier graphique,40322555,"54, rue Royale",Nantes,Nantes,44000,France,Schmitt,Carine,Medium
34,100,4043.96,15/10/2004,Shipped,4,10,2004,Motorcycles,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,White Plains,NY,24067,USA,Frick,Steve,Medium
45,100,5566.5,02/11/2004,Shipped,4,11,2004,Motorcycles,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung,Medium
20,100,3176,15/11/2004,Shipped,4,11,2004,Motorcycles,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Medium
40,68.92,2756.8,23/11/2004,Shipped,4,11,2004,Motorcycles,S10_2016,"Tokyo Collectables, Ltd",81335840555,2-2-8 Roppongi,Minato-ku,Tokyo,106-0032,Japan,Shimamura,Akiko,Small
26,51.15,1329.9,17/12/2004,Shipped,4,12,2004,Motorcycles,S10_2016,Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
39,100,5288.01,02/02/2005,Shipped,1,2,2005,Motorcycles,S10_2016,"Australian Gift Network, Co",61738446555,31 Duncan St. West End,South Brisbane,Queensland,4101,Australia,Calaghan,Tony,Medium
50,44.51,2225.5,03/03/2005,Shipped,1,3,2005,Motorcycles,S10_2016,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta,Small
45,100,5833.8,07/04/2005,Shipped,2,4,2005,Motorcycles,S10_2016,Auto Canal Petit,+(147556555,"25, rue Lauriston",Paris,Paris,75016,France,Perrier,Dominique,Medium
45,100,5887.35,13/05/2005,Disputed,2,5,2005,Motorcycles,S10_2016,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
27,100,6065.55,24/02/2003,Shipped,1,2,2003,Motorcycles,S10_4698,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Medium
46,100,9264.86,29/04/2003,Shipped,2,4,2003,Motorcycles,S10_4698,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Large
31,100,7023.98,01/07/2003,Shipped,3,7,2003,Motorcycles,S10_4698,Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Paris,Paris,75508,France,Da Cunha,Daniel,Large
33,100,5176.38,25/08/2003,Shipped,3,8,2003,Motorcycles,S10_4698,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Medium
22,100,4132.7,10/10/2003,Shipped,4,10,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Medium
20,100,4183,28/10/2003,Shipped,4,10,2003,Motorcycles,S10_4698,Technics Stores Inc.,6505556809,9408 Furth Circle,Burlingame,CA,94217,USA,Hirano,Juri,Medium
41,100,8892.9,11/11/2003,Shipped,4,11,2003,Motorcycles,S10_4698,Daedalus Designs Imports,20161555,"184, chausse de Tournai",Lille,Lille,59000,France,Rance,Martine,Large
45,100,8714.7,18/11/2003,Shipped,4,11,2003,Motorcycles,S10_4698,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Large
49,100,8065.89,01/12/2003,Shipped,4,12,2003,Motorcycles,S10_4698,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,0,USA,Murphy,Julie,Large
34,100,6123.4,12/01/2004,Shipped,1,1,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,8.10663E+11,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory,Medium
49,100,9774.03,20/02/2004,Shipped,1,2,2004,Motorcycles,S10_4698,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Large
